set_id,directory,method,normalised,log1p,scaled,time_seconds,absolute,corr_penalty,data_path,dataset,fraction_seed,gene_subset,n,n_pcs,obs_fraction,obs_key,penalty_keys,rankby_abs,seed,variance_scaled
genesets_1_60,.,random,False,False,False,0.0017054589989129454,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,1466,
genesets_1_61,.,random,False,False,False,0.001574758003698662,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,4221,
genesets_1_62,.,random,False,False,False,0.0017574520024936646,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,7986,
genesets_1_63,.,highest_expr,True,True,False,0.012032647005980834,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,,
genesets_1_64,.,pca,True,True,False,0.05042476300150156,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,10,,,[],,,False
genesets_1_65,.,pca,True,True,True,0.3450853800022742,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,10,,,[],,,False
genesets_1_66,.,pca,True,True,False,0.14801843100576662,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,20,,,[],,,False
genesets_1_67,.,pca,True,True,True,0.35328744299476966,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,20,,,[],,,False
genesets_1_68,.,pca,True,True,False,0.18241194800066296,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,30,,,[],,,False
genesets_1_69,.,pca,True,True,True,1.1787573030014755,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,30,,,[],,,False
genesets_1_70,.,pca,True,True,False,0.0983034100063378,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,100,10,,,[],,,True
